tech company,employer provided healthcare with mental benefits,employer provided mental healthcare awareness,current mental health disorder,mental health diagnosis,family history of mental illness,discussed personal mental health with employer,anonymity protected when using benefits,ease of asking for leave,comfortable discussing a mental health issue with direct supervisor(s),comfortable discussing a mental health issue with coworkers,Number of employees,how well do you think the tech industry supports employees with mental health issues,observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace,Age,Gender,Country of residence,Race,year
,,,No,,Yes,,,,,,,2.0,"Yes, I observed",No,24.0,male,Germany,,2017
1.0,Yes,No,No,,No,0.0,I don't know,Very easy,Yes,Yes,100-500,4.0,No,"Yes, I observed",31.0,Male,Sweden,,2017
1.0,No,,Yes,Yes,I don't know,1.0,I don't know,Very easy,Yes,Yes,6-25,2.0,Maybe/Not sure,"Yes, I experienced",33.0,Male,Ireland,,2017
1.0,No,,Yes,Yes,No,1.0,Yes,Very easy,Yes,Yes,100-500,3.0,"Yes, I experienced","Yes, I experienced",37.0,Male,United Kingdom,,2017
1.0,I don't know,No,No,,No,0.0,I don't know,Somewhat easy,Maybe,No,6-25,4.0,"Yes, I observed",No,27.0,male,Switzerland,,2017
1.0,Yes,No,No,,No,1.0,No,Neither easy nor difficult,Yes,Yes,6-25,3.0,Maybe/Not sure,"Yes, I experienced",31.0,male,Netherlands,,2017
,,,Don't Know,,I don't know,,,,,,,3.0,Maybe/Not sure,No,32.0,Male,Ukraine,,2017
1.0,No,No,Possibly,,I don't know,1.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,4.0,Maybe/Not sure,No,40.0,Male,United Kingdom,,2017
1.0,No,Yes,No,,No,1.0,I don't know,Very easy,Yes,Yes,More than 1000,3.0,No,No,32.0,Male,Spain,,2017
,,,Don't Know,,I don't know,,,,,,,3.0,No,No,31.0,Male,India,,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,Yes,Very easy,Yes,Yes,100-500,5.0,Maybe/Not sure,"Yes, I experienced",33.0,Male,United States of America,White,2017
1.0,I don't know,No,Possibly,,I don't know,0.0,I don't know,Somewhat difficult,Yes,Yes,6-25,3.0,No,"Yes, I experienced",21.0,,United States of America,White,2017
,,,Possibly,,No,,,,,,,2.0,"Yes, I experienced",Maybe/Not sure,67.0,female,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,2.0,I've always been self-employed,I've always been self-employed,35.0,Cis-male,United Kingdom,,2017
,,,No,,I don't know,,,,,,,5.0,No,No,46.0,male,Ireland,,2017
0.0,Yes,No,Yes,Yes,I don't know,0.0,I don't know,Somewhat difficult,No,Maybe,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,36.0,Male,United States of America,White,2017
1.0,No,No,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,6-25,3.0,No,"Yes, I observed",44.0,f,Australia,,2017
0.0,Yes,No,Possibly,,I don't know,0.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,3.0,No,"Yes, I observed",57.0,Male,United States of America,White,2017
1.0,I don't know,No,No,,I don't know,0.0,I don't know,I don't know,Maybe,Maybe,6-25,3.0,No,Maybe/Not sure,38.0,female,United States of America,White,2017
1.0,Yes,No,Possibly,,Yes,0.0,I don't know,Somewhat easy,Yes,Yes,100-500,3.0,No,No,27.0,female,United States of America,,2017
0.0,Not eligible for coverage / NA,,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,More than 1000,3.0,No,"Yes, I observed",26.0,Male,Australia,,2017
1.0,Yes,No,Possibly,,No,1.0,I don't know,Neither easy nor difficult,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",36.0,m,United States of America,White,2017
1.0,Not eligible for coverage / NA,,No,,Yes,1.0,Yes,Somewhat easy,Yes,Yes,1-5,3.0,Maybe/Not sure,"Yes, I experienced",30.0,Male,United Kingdom,,2017
1.0,Yes,Yes,Yes,No,Yes,1.0,I don't know,Very easy,Yes,Yes,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",35.0,Male,United Kingdom,,2017
1.0,No,No,Don't Know,,No,0.0,I don't know,Very easy,Maybe,Yes,26-100,2.0,No,Maybe/Not sure,30.0,Male,Argentina,,2017
1.0,No,,Don't Know,,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Yes,26-100,3.0,Maybe/Not sure,"Yes, I observed",32.0,Male,New Zealand,,2017
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,Neither easy nor difficult,No,No,100-500,3.0,Maybe/Not sure,Maybe/Not sure,35.0,male,France,,2017
1.0,Yes,Yes,No,,No,0.0,I don't know,Very easy,Yes,Yes,500-1000,3.0,No,"Yes, I observed",33.0,Male,Australia,,2017
1.0,No,,No,,No,0.0,I don't know,Very easy,Yes,Maybe,6-25,2.0,Maybe/Not sure,"Yes, I observed",48.0,Male,New Zealand,,2017
1.0,No,Yes,No,,No,0.0,I don't know,Somewhat easy,No,No,26-100,2.0,Maybe/Not sure,"Yes, I observed",32.0,Male,Netherlands,,2017
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,Maybe,100-500,1.0,"Yes, I observed",No,45.0,M,United Kingdom,,2017
1.0,I don't know,No,No,,No,0.0,I don't know,I don't know,No,Maybe,500-1000,2.0,No,No,31.0,male,Romania,,2017
0.0,I don't know,No,No,,No,0.0,I don't know,Very easy,Maybe,No,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",40.0,Male,Spain,,2017
0.0,I don't know,No,No,,I don't know,0.0,I don't know,Very easy,Maybe,Maybe,26-100,3.0,No,No,37.0,male,United States of America,White,2017
1.0,No,No,No,,No,0.0,I don't know,I don't know,No,No,100-500,1.0,Maybe/Not sure,Maybe/Not sure,29.0,male,Poland,,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Very easy,No,Maybe,100-500,2.0,Maybe/Not sure,Maybe/Not sure,26.0,male,United States of America,White,2017
1.0,Yes,Yes,Possibly,,I don't know,1.0,Yes,Somewhat easy,Yes,Maybe,100-500,3.0,"Yes, I experienced","Yes, I observed",51.0,Female,United States of America,White,2017
,,,Yes,Yes,No,,,,,,,4.0,"Yes, I experienced","Yes, I observed",29.0,male,Germany,,2017
,,,Yes,Yes,Yes,,,,,,,3.0,"Yes, I experienced",Maybe/Not sure,30.0,Male,United Kingdom,,2017
1.0,Yes,Yes,No,,No,0.0,I don't know,I don't know,Yes,Yes,26-100,3.0,"Yes, I experienced","Yes, I observed",33.0,female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Neither easy nor difficult,Maybe,Yes,100-500,4.0,"Yes, I experienced","Yes, I experienced",27.0,Male,United States of America,White,2017
1.0,Yes,No,No,,I don't know,0.0,I don't know,Somewhat difficult,No,No,6-25,2.0,"Yes, I experienced",No,42.0,Male,United States of America,White,2017
1.0,Not eligible for coverage / NA,,No,,No,1.0,Yes,Neither easy nor difficult,Yes,Maybe,6-25,2.0,"Yes, I observed","Yes, I observed",47.0,male,Australia,,2017
1.0,Not eligible for coverage / NA,,Yes,Yes,I don't know,1.0,I don't know,Very easy,Yes,Yes,26-100,3.0,No,"Yes, I observed",31.0,Female,Netherlands,,2017
0.0,I don't know,No,No,,No,0.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,3.0,No,No,32.0,Male,United Kingdom,,2017
,,,No,,No,,,,,,,3.0,I've always been self-employed,I've always been self-employed,60.0,Male ,Netherlands,,2017
1.0,I don't know,No,No,,Yes,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,2.0,"Yes, I observed","Yes, I observed",58.0,Male,Belgium,,2017
,,,No,,Yes,,,,,,,1.0,"Yes, I observed","Yes, I observed",38.0,Male,Belgium,,2017
1.0,No,,Don't Know,,I don't know,0.0,I don't know,Somewhat difficult,No,No,6-25,1.0,No,No,42.0,female,Spain,,2017
1.0,I don't know,,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,No,No,100-500,1.0,No,"Yes, I observed",41.0,Male,Germany,,2017
1.0,Yes,Yes,Possibly,,No,0.0,Yes,Very easy,No,No,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",25.0,Male,India,,2017
1.0,Yes,Yes,No,,No,1.0,Yes,Very easy,Yes,No,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",31.0,Female,United States of America,White,2017
,,,Don't Know,,No,,,,,,,2.0,No,No,42.0,male,Argentina,,2017
1.0,No,No,Yes,Yes,I don't know,1.0,I don't know,Somewhat easy,Yes,Maybe,26-100,2.0,Maybe/Not sure,Maybe/Not sure,42.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,No,0.0,Yes,Difficult,No,No,More than 1000,1.0,"Yes, I experienced",No,41.0,Male,United States of America,Asian,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Maybe,No,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,35.0,Non-binary,United States of America,White,2017
1.0,Yes,Yes,Don't Know,,No,0.0,No,Neither easy nor difficult,Maybe,No,More than 1000,2.0,"Yes, I observed",No,24.0,Male,Mexico,,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,More than 1000,3.0,"Yes, I observed",No,37.0,Male,United States of America,White,2017
1.0,I don't know,,Don't Know,,No,0.0,I don't know,Neither easy nor difficult,No,No,More than 1000,2.0,"Yes, I observed",No,32.0,Male,Japan,,2017
0.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Yes,Yes,500-1000,5.0,Maybe/Not sure,Maybe/Not sure,34.0,M,India,,2017
0.0,No,No,No,,No,0.0,I don't know,Somewhat difficult,Maybe,No,More than 1000,2.0,No,No,37.0,Male,Singapore,,2017
,,,Don't Know,,No,,,,,,,3.0,Maybe/Not sure,Maybe/Not sure,38.0,Male,France,,2017
1.0,No,No,Possibly,,I don't know,0.0,I don't know,Difficult,Maybe,No,26-100,1.0,Maybe/Not sure,No,30.0,male,United States of America,White,2017
1.0,I don't know,No,Don't Know,,I don't know,0.0,I don't know,I don't know,No,No,More than 1000,2.0,No,No,27.0,Male,France,,2017
0.0,Yes,No,No,,No,0.0,I don't know,Neither easy nor difficult,No,No,More than 1000,3.0,No,No,41.0,Female,United States of America,White,2017
1.0,I don't know,No,Possibly,,I don't know,0.0,I don't know,Somewhat easy,Maybe,No,6-25,3.0,No,No,41.0,M,United States of America,White,2017
1.0,Yes,No,No,,No,0.0,I don't know,Difficult,Maybe,No,26-100,2.0,Maybe/Not sure,No,39.0,male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,No,1.0,I don't know,Somewhat easy,Maybe,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",42.0,male,United States of America,White,2017
1.0,Yes,No,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,1-5,3.0,Maybe/Not sure,"Yes, I observed",28.0,Female,United States of America,White,2017
1.0,No,No,Yes,Yes,No,0.0,I don't know,Difficult,No,Maybe,6-25,3.0,No,No,29.0,Male,United States of America,White,2017
,,,Possibly,,Yes,,,,,,,2.0,"Yes, I observed","Yes, I observed",41.0,"Male, cis",Australia,,2017
1.0,Yes,No,No,,No,0.0,I don't know,Very easy,Maybe,Yes,More than 1000,2.0,No,"Yes, I observed",46.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,Yes,1.0,No,Somewhat difficult,Yes,Yes,500-1000,2.0,"Yes, I observed","Yes, I observed",38.0,Male,Spain,,2017
1.0,Yes,Yes,Don't Know,,No,0.0,Yes,Very easy,Maybe,Maybe,More than 1000,2.0,No,No,34.0,Male,United States of America,,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,I don't know,Yes,Yes,6-25,3.0,Maybe/Not sure,Maybe/Not sure,28.0,Male,Germany,,2017
1.0,No,No,Yes,Yes,Yes,0.0,I don't know,Difficult,No,No,26-100,2.0,Maybe/Not sure,"Yes, I experienced",28.0,Female ,Netherlands,,2017
1.0,Yes,Yes,No,,No,1.0,Yes,Somewhat easy,Yes,Yes,26-100,1.0,"Yes, I observed",No,38.0,cis male ,Germany,,2017
0.0,Yes,No,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Maybe,Yes,More than 1000,4.0,No,"Yes, I experienced",33.0,Male,United States of America,More than one of the above,2017
1.0,Yes,Yes,Don't Know,,I don't know,1.0,Yes,I don't know,Maybe,Maybe,26-100,2.0,Maybe/Not sure,No,38.0,female,United States of America,White,2017
0.0,I don't know,No,Yes,Yes,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,3.0,No,No,48.0,Male,United States of America,White,2017
1.0,No,No,No,,I don't know,1.0,Yes,Very easy,Maybe,Maybe,1-5,3.0,"Yes, I experienced","Yes, I experienced",44.0,Woman,France,,2017
1.0,Yes,Yes,Possibly,,Yes,1.0,I don't know,Very easy,Yes,Yes,More than 1000,2.0,No,"Yes, I experienced",34.0,Male,United States of America,White,2017
1.0,No,No,Yes,Yes,No,0.0,I don't know,I don't know,No,Maybe,100-500,2.0,"Yes, I experienced",No,29.0,Female,United States of America,White,2017
0.0,No,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,No,More than 1000,1.0,Maybe/Not sure,No,39.0,male,United Kingdom,,2017
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,I don't know,No,Maybe,100-500,2.0,No,Maybe/Not sure,41.0,m,Slovakia,,2017
1.0,Yes,No,No,,Yes,0.0,Yes,Very easy,No,Maybe,100-500,3.0,No,"Yes, I observed",33.0,Male,United States of America,White,2017
,,,No,,I don't know,,,,,,,1.0,"Yes, I observed","Yes, I observed",31.0,male,Germany,,2017
1.0,Yes,No,Don't Know,,No,0.0,Yes,Very easy,No,No,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",44.0,Male,France,,2017
0.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,No,100-500,3.0,No,Maybe/Not sure,33.0,Female,United States of America,,2017
1.0,I don't know,No,Possibly,,No,0.0,I don't know,Somewhat difficult,No,Maybe,26-100,2.0,"Yes, I observed",No,26.0,Agender/genderfluid,Austria,,2017
1.0,Not eligible for coverage / NA,,No,,No,0.0,I don't know,Somewhat easy,Yes,Maybe,26-100,3.0,No,No,28.0,Male,South Africa,,2017
1.0,Yes,Yes,Possibly,,I don't know,0.0,I don't know,Somewhat difficult,Maybe,Maybe,6-25,2.0,No,Maybe/Not sure,32.0,Female,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,Somewhat easy,Maybe,Yes,More than 1000,4.0,Maybe/Not sure,No,35.0,Female,Ireland,,2017
0.0,I don't know,No,No,,No,0.0,Yes,Very easy,Yes,Yes,More than 1000,4.0,No,"Yes, I observed",40.0,Male,France,,2017
0.0,I don't know,No,Yes,Yes,I don't know,0.0,Yes,Somewhat easy,Yes,Maybe,500-1000,2.0,No,Maybe/Not sure,30.0,Male,United States of America,White,2017
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,3.0,No,No,34.0,Male,United States of America,More than one of the above,2017
1.0,I don't know,No,No,,I don't know,0.0,I don't know,Somewhat easy,Maybe,Yes,26-100,3.0,Maybe/Not sure,Maybe/Not sure,21.0,Male,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,No,More than 1000,1.0,"Yes, I observed",Maybe/Not sure,37.0,male,France,,2017
,,,No,,No,,,,,,,4.0,No,"Yes, I experienced",27.0,Male,Belarus,,2017
,,,No,,No,,,,,,,3.0,No,"Yes, I experienced",37.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Very easy,Yes,Yes,100-500,4.0,No,"Yes, I experienced",33.0,Male,United Kingdom,,2017
1.0,Yes,Yes,Possibly,,Yes,1.0,Yes,I don't know,Yes,Yes,More than 1000,2.0,No,"Yes, I experienced",28.0,Male,United States of America,More than one of the above,2017
1.0,Yes,No,Don't Know,,I don't know,1.0,Yes,I don't know,Yes,Maybe,More than 1000,1.0,"Yes, I observed",Maybe/Not sure,41.0,male,United States of America,White,2017
1.0,No,,No,,No,0.0,Yes,Somewhat easy,Maybe,Maybe,26-100,3.0,No,Maybe/Not sure,34.0,male,Germany,,2017
,,,No,,Yes,,,,,,,2.0,"Yes, I observed","Yes, I observed",37.0,Male,United Kingdom,,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,2.0,"Yes, I observed","Yes, I experienced",28.0,Male,United States of America,White,2017
0.0,No,,Possibly,,No,0.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,3.0,"Yes, I observed",No,52.0,Male,Germany,,2017
1.0,I don't know,No,No,,No,0.0,I don't know,Very easy,Yes,Maybe,100-500,2.0,No,No,39.0,Male,United Kingdom,,2017
1.0,Yes,No,Possibly,,I don't know,0.0,I don't know,Difficult,No,No,6-25,1.0,No,No,45.0,Male,United States of America,White,2017
,,,No,,No,,,,,,,2.0,I've always been self-employed,I've always been self-employed,50.0,Male,Netherlands,,2017
1.0,I don't know,No,Possibly,,I don't know,1.0,I don't know,Neither easy nor difficult,Maybe,Maybe,100-500,1.0,"Yes, I experienced","Yes, I experienced",27.0,Male,France,,2017
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,Neither easy nor difficult,Maybe,No,More than 1000,2.0,No,No,31.0,f,United States of America,White,2017
1.0,I don't know,,Possibly,,I don't know,0.0,I don't know,I don't know,Maybe,Maybe,100-500,1.0,Maybe/Not sure,No,44.0,Male,Netherlands,,2017
1.0,Yes,No,No,,Yes,1.0,I don't know,Somewhat easy,No,Maybe,6-25,3.0,"Yes, I observed",Maybe/Not sure,31.0,male,France,,2017
1.0,No,,Possibly,,No,0.0,No,Difficult,No,No,1-5,2.0,"Yes, I observed",No,23.0,Male-ish,Russia,,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,I don't know,Yes,Yes,100-500,3.0,Maybe/Not sure,"Yes, I experienced",23.0,Male,United States of America,White,2017
1.0,I don't know,No,No,,I don't know,0.0,I don't know,I don't know,No,Maybe,100-500,2.0,Maybe/Not sure,"Yes, I observed",38.0,Male,France,,2017
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,I don't know,Maybe,No,26-100,2.0,Maybe/Not sure,Maybe/Not sure,37.0,male,United States of America,White,2017
1.0,Yes,No,No,,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,6-25,3.0,Maybe/Not sure,No,33.0,Male,France,,2017
,,,Yes,Yes,I don't know,,,,,,,1.0,"Yes, I observed",No,34.0,Male,United States of America,Asian,2017
0.0,Yes,Yes,Possibly,,No,0.0,I don't know,Somewhat difficult,No,No,More than 1000,1.0,No,No,47.0,Male ,United States of America,White,2017
1.0,I don't know,No,Don't Know,,Yes,1.0,I don't know,Somewhat easy,Maybe,No,26-100,4.0,No,No,29.0,Female,United States of America,White,2017
0.0,Yes,No,No,,No,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,More than 1000,2.0,Maybe/Not sure,No,38.0,male,United States of America,White,2017
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,2.0,No,No,29.0,Male,Canada,,2017
1.0,I don't know,No,Yes,Yes,I don't know,1.0,I don't know,Somewhat easy,Yes,Yes,100-500,3.0,No,"Yes, I experienced",37.0,Male,United States of America,White,2017
,,,Yes,Yes,No,,,,,,,1.0,I've always been self-employed,I've always been self-employed,39.0,M,India,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Maybe,Yes,100-500,2.0,"Yes, I observed","Yes, I experienced",29.0,Female,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I observed",No,57.0,f,Canada,,2017
1.0,Not eligible for coverage / NA,,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Yes,Yes,6-25,4.0,Maybe/Not sure,"Yes, I experienced",27.0,Female,United States of America,White,2017
0.0,I don't know,No,No,,No,0.0,I don't know,I don't know,Yes,Yes,More than 1000,3.0,No,No,38.0,Female,United States of America,White,2017
,,,No,,I don't know,,,,,,,1.0,"Yes, I observed",Maybe/Not sure,39.0,male,France,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,More than 1000,4.0,No,"Yes, I experienced",29.0,Male,Switzerland,,2017
0.0,No,,Yes,Yes,Yes,0.0,No,Somewhat difficult,No,No,100-500,1.0,Maybe/Not sure,No,24.0,Male,United Kingdom,,2017
1.0,No,No,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,26-100,2.0,"Yes, I experienced","Yes, I experienced",30.0,female,United Kingdom,,2017
1.0,Yes,Yes,Possibly,,I don't know,0.0,Yes,Somewhat easy,Maybe,Maybe,500-1000,4.0,"Yes, I observed","Yes, I observed",32.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,100-500,3.0,No,"Yes, I experienced",37.0,M,United States of America,White,2017
1.0,No,No,No,,No,0.0,I don't know,Somewhat easy,No,Maybe,6-25,1.0,No,Maybe/Not sure,34.0,male,New Zealand,,2017
1.0,Yes,Yes,No,,Yes,1.0,Yes,Very easy,Yes,Yes,100-500,5.0,No,"Yes, I observed",52.0,m,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Difficult,No,No,100-500,1.0,No,No,36.0,Male,United States of America,White,2017
0.0,Yes,No,Yes,Yes,No,1.0,Yes,Neither easy nor difficult,No,Maybe,100-500,2.0,"Yes, I experienced","Yes, I experienced",52.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,No,1.0,Yes,Very easy,Maybe,Yes,100-500,1.0,No,"Yes, I observed",49.0,Female,United States of America,Asian,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,I don't know,Maybe,Maybe,More than 1000,2.0,"Yes, I observed",No,30.0,male,United States of America,White,2017
1.0,Not eligible for coverage / NA,No,Yes,Yes,Yes,1.0,I don't know,Very easy,Yes,Yes,6-25,4.0,No,"Yes, I experienced",41.0,male,Australia,,2017
0.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Somewhat easy,Yes,Yes,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,29.0,Male,United States of America,,2017
1.0,Yes,Yes,Yes,Yes,No,0.0,I don't know,Very easy,No,No,More than 1000,1.0,"Yes, I observed",No,37.0,,United States of America,I prefer not to answer,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Maybe,Yes,100-500,3.0,No,"Yes, I experienced",29.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,500-1000,3.0,No,"Yes, I experienced",39.0,female,United States of America,More than one of the above,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Very easy,Yes,Yes,100-500,3.0,Maybe/Not sure,Maybe/Not sure,30.0,F,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,26-100,2.0,"Yes, I observed","Yes, I experienced",23.0,woman,United States of America,White,2017
1.0,Yes,No,Possibly,,I don't know,0.0,Yes,Somewhat easy,Maybe,No,More than 1000,3.0,"Yes, I observed",Maybe/Not sure,29.0,f,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Maybe,26-100,2.0,No,"Yes, I experienced",38.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,More than 1000,1.0,"Yes, I experienced",No,41.0,female,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,I don't know,Very easy,Yes,Yes,100-500,3.0,"Yes, I observed","Yes, I observed",47.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,Maybe,No,6-25,1.0,Maybe/Not sure,No,56.0,Woman,United States of America,White,2017
1.0,I don't know,No,Possibly,,I don't know,0.0,I don't know,Difficult,No,No,100-500,2.0,"Yes, I observed",Maybe/Not sure,22.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,100-500,2.0,No,"Yes, I observed",32.0,female,United States of America,White,2017
1.0,I don't know,No,Yes,Yes,Yes,0.0,No,Somewhat easy,No,Maybe,6-25,4.0,"Yes, I observed",Maybe/Not sure,30.0,female,United States of America,White,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,No,No,100-500,1.0,"Yes, I experienced",No,31.0,sometimes,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,No,1.0,Yes,Very easy,Yes,Yes,100-500,3.0,No,No,36.0,M,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Maybe,Yes,100-500,1.0,"Yes, I experienced","Yes, I experienced",32.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,6-25,2.0,Maybe/Not sure,Maybe/Not sure,37.0,Female,United States of America,White,2017
0.0,I don't know,No,Possibly,,I don't know,0.0,Yes,Somewhat difficult,Maybe,No,6-25,3.0,Maybe/Not sure,"Yes, I observed",29.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,Somewhat easy,No,No,26-100,3.0,No,"Yes, I observed",31.0,Female,United States of America,More than one of the above,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,100-500,3.0,No,"Yes, I observed",39.0,Male,United States of America,White,2017
0.0,I don't know,No,Don't Know,,Yes,0.0,No,Neither easy nor difficult,Yes,Maybe,100-500,2.0,Maybe/Not sure,Maybe/Not sure,36.0,Male,Japan,,2017
,,,Yes,Yes,I don't know,,,,,,,2.0,"Yes, I experienced",No,27.0,,United States of America,White,2017
1.0,I don't know,No,No,,No,0.0,I don't know,Neither easy nor difficult,No,Maybe,More than 1000,2.0,No,"Yes, I observed",38.0,Male,United Kingdom,,2017
,,,Yes,Yes,Yes,,,,,,,3.0,Maybe/Not sure,Maybe/Not sure,37.0,male,United States of America,White,2017
1.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,Maybe,Yes,100-500,4.0,No,Maybe/Not sure,33.0,female,United States of America,White,2017
1.0,No,No,Possibly,,I don't know,1.0,I don't know,Neither easy nor difficult,Yes,Yes,6-25,2.0,Maybe/Not sure,"Yes, I experienced",38.0,Male,Turkey,,2017
1.0,Yes,No,Possibly,,Yes,0.0,I don't know,Neither easy nor difficult,Yes,Yes,100-500,4.0,No,"Yes, I observed",36.0,female (cisgender),United States of America,White,2017
1.0,No,,No,,I don't know,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,1.0,"Yes, I experienced",Maybe/Not sure,30.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Somewhat difficult,Yes,Yes,26-100,2.0,No,"Yes, I experienced",38.0,Male,United States of America,White,2017
1.0,No,,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,No,Maybe,26-100,2.0,Maybe/Not sure,"Yes, I experienced",35.0,female,Canada,,2017
1.0,Yes,No,Yes,Yes,Yes,1.0,Yes,Somewhat difficult,Yes,Yes,6-25,2.0,No,"Yes, I experienced",26.0,Male,United States of America,White,2017
